snooker_id,title
1128,Betfred World Championship
1129,Cazoo Masters
1130,Cazoo UK Championship
1131,BetVictor Northern Ireland Open
1132,BetVictor English Open
1133,BetVictor Scottish Open
1134,BetVictor Welsh Open
1135,Cazoo Champion of Champions
1136,Cazoo World Grand Prix
1137,Cazoo Players Championship
1138,Cazoo Tour Championship
1139,BetVictor Shoot Out
1140,BildBet German Masters
1141,BetVictor European Masters
1142,Q Tour 3
1143,BetVictor Gibraltar Open
1144,World Championship Qualifiers
1145,BetVictor Championship League
1148,Rd 3
1150,Q Tour 2
1153,Nirvana Turkish Masters
1154,Matchroom.live British Open
1155,Turkish Masters Qualifiers
1156,Northern Ireland Open Qualifiers
1157,English Open Qualifiers
1158,Scottish Open Qualifiers
1159,Welsh Open Qualifiers
1160,German Masters Qualifiers
1161,European Masters Qualifiers
1162,UK Women's Championship
1164,Eden Women's Masters
1165,WAYS Facilities Management World Seniors Championship
