full_name,nation,birthday,snooker_id,cuetracker_id,wikidata_id,wiki_id
Ken Owers,England,,3306,,,
Nick Fruin,England,,3307,,,
IIS 10.0 Detailed Error - 404.0 - Not Found,,,3308,,,
John Bayliss,England,,3309,,,
IIS 10.0 Detailed Error - 404.0 - Not Found,,,3310,,,
IIS 10.0 Detailed Error - 404.0 - Not Found,,,3311,,,
IIS 10.0 Detailed Error - 404.0 - Not Found,,,3312,,,
IIS 10.0 Detailed Error - 404.0 - Not Found,,,3313,,,
Neil Mosley,England,,3314,,,
Jim Chambers,England,,3316,,,
Mark Rowing,England,,3317,,,
Colin Morton,England,,3318,,,
IIS 10.0 Detailed Error - 404.0 - Not Found,,,3319,,,
IIS 10.0 Detailed Error - 404.0 - Not Found,,,3320,,,
Danny Fowler,England,,3321,,,
IIS 10.0 Detailed Error - 404.0 - Not Found,,,3322,,,
Mark O'Sullivan,Ireland,,3323,,,
Eugene Hughes,Ireland,,3324,,,
IIS 10.0 Detailed Error - 404.0 - Not Found,,,3325,,,
Michael Duffy,Northern Ireland,,3337,,,
