full_name,nation,birthday,snooker_id,cuetracker_id,wikidata_id,wiki_id
Joe O'Boye,Ireland,1960-03-06,3288,,,
Ali Bassiri,England,1960-03-07,486,ali-bassiri,,
Tony Jones,England,1960-04-15,1355,tony-jones,,
Steve Whalley,England,1960-05-02,3333,,,
Tony Chappel,Wales,1960-05-28,802,tony-chappel,,
Robby Foldvari,Australia,1960-06-02,3349,,,
Alain Robidoux,Canada,1960-07-25,669,alain-robidoux,,
Steve James,England,1961-05-02,1049,steve-james,,
Martin Smith,England,1961-06-12,3510,,,
Dave Gilbert,England,1961-08-15,3456,dave-gilbert,,
Tommy Murphy,Northern Ireland,1962-01-08,3489,,,
Peter Francisco,South Africa,1962-02-13,1298,peter-francisco,,
Gary Natale,Canada,1962-04-24,3503,,,
Jimmy White,England,1962-05-02,20,jimmy-white,,
Jon Wright,England,1962-08-10,3475,,,
Tai Pichit,Thailand,1963-01-10,3266,,,
Dean Reynolds,England,1963-01-11,659,dean-reynolds,,
Bjørn L'Orange,Norway,1963-01-20,3441,,,
Dene O'Kane,New Zealand,1963-02-24,667,dene-okane,,
Mukesh Parmar,England,1963-03-04,3359,,,
Nigel Howes,England,1963-06-07,2213,,,
Paul Gibson,England,1963-06-09,3464,,,
David Singh,India,1963-06-28,385,david-singh,,
Neal Foulds,England,1963-07-13,668,neal-foulds,,
Gary Filtness,England,1963-08-23,1357,gary-filtness,,
Stephen Baillie,Scotland,1963-10-13,1178,stephen-baillie,,
Jason Smith,England,1964-01-06,3481,,,
Tony Wilson,Isle of Man,1964-02-12,3472,,,
Wael Talaat,Egypt,1964-03-17,589,wael-talaat,,
Imran Puri,England,1964-05-01,1209,imran-puri,,
Colin Mitchell,England,1964-05-04,490,colin-mitchell,,
John Parrott,England,1964-05-11,408,john-parrott,,
Terry Whitthread,England,1964-07-07,3702,terry-whitthread,,
Ian Brumby,England,1964-09-17,794,ian-brumby,,
Gary Miller,England,1964-10-02,803,gary-miller,,
John Welsh,England,1964-10-11,793,john-welsh,,
Edwin Depoorter,Belgium,1964-10-19,406,edwin-depoorter,,
Tony Kenny,England,1965-01-20,3381,,,
Andrew Milliard,England,1965-03-14,424,andrew-milliard,,
Franky Chan,Hong Kong,1965-03-17,3485,,,
Brady Gollan,Canada,1965-03-28,3483,,,
Paddy Browne,Ireland,1965-04-01,3501,,,
Chris Cookson,England,1965-04-25,3511,,,
Richard Pipe,England,1965-05-17,3129,richard-pipe,,
Kharazchi Jamshid,Germany,1965-05-30,2658,,,
Tony Drago,Malta,1965-09-22,41,tony-drago,,
Nigel Bond,England,1965-11-15,14,nigel-bond,,
Steve Campbell,England,1966-03-07,3514,,,
Robert Harrhy,Wales,1966-04-29,3371,,,
Darren Morgan,Wales,1966-05-03,223,darren-morgan,,
Robert Grenville-Smith,England,1966-05-09,3395,,,
Steve Prest,England,1966-05-19,3346,,,
Mick Price,Ireland,1966-06-02,3258,,,
Henrique Correia,Portugal,1966-06-28,1633,henrique-correia,,
Robert Foxall,England,1966-07-05,3299,,,
Pat Horne,England,1966-08-07,3315,pat-horne,,
Duncan Campbell,Scotland,1966-09-24,3499,,,
Dave Harold,England,1966-12-09,31,dave-harold,,
Wayne Rendle,England,1966-12-09,3458,wayne-rendle,,
Dave Harold,England,1966-12-09,31,dave-harold,,
Yasin Merchant,India,1966-12-17,3297,,,
Peter Holland,England,1967-02-14,3338,,,
Ian Graham,England,1967-02-17,3469,,,
Ian Graham,England,1967-02-17,3468,,,
Mark Williams (1967),England,1967-03-16,3369,,,
Brian Rowswell,England,1967-03-18,3265,,,
Stefan Mazrocis,England,1967-04-18,492,stefan-mazrocis,,
Danny Connolly,England,1967-05-27,1985,danny-connolly,,
Philip Williams,Wales,1967-06-03,1363,philip-williams,,
Jimmy Singh,England,1967-06-08,3424,,,
Paul Burrell,England,1967-06-27,2001,paul-burrell,,
Euan Henderson,Scotland,1967-06-30,3220,,,
Andrew Peters,Wales,1967-07-07,3378,,,
Paul Cavney,England,1967-08-06,484,paul-cavney,,
Sean Lanigan,England,1967-08-21,1353,sean-lanigan,,
Andrew Alexandrou,England,1967-08-25,1651,andrew-alexandrou,,
Andrew Alexandrou,England,1967-08-25,3426,,,
Nick Terry,England,1967-09-15,3248,,,
Mark Winsor,England,1967-10-04,2448,,,
Steve Russell,England,1967-10-04,3376,,,
Mark Winsor,England,1967-10-04,2448,,,
Karl Burrows,England,1967-12-17,2872,,,
Surinder Gill,England,1968-01-20,1190,surinder-gill,,
Peter Gilchrist,England,1968-02-11,3450,,,
Steve Elliott,England,1968-02-12,3345,,,
David Finbow,England,1968-02-27,2505,,,
Andrew Atkinson,England,1968-02-27,3457,andrew-atkinson,,
David Finbow,England,1968-02-27,2505,,,
Anthony Harris,England,1968-04-10,927,anthony-harris,,
Paul Tanner,England,1968-05-14,3482,,,
Peter Daubney,England,1968-05-14,3443,,,
Boris Lazarkov,Bulgaria,1968-05-18,2162,boris-lazarkov,,
John Herbert,Wales,1968-07-23,3342,,,
Simon Dent,England,1968-07-24,1565,simon-dent,,
Darren Hackeson,England,1968-09-09,3327,,,
Steven Thomas,Wales,1968-10-13,2454,,,
Tony Corrigan,Ireland,1968-10-24,1661,tony-corrigan,,
Martin Clark,England,1968-10-27,3261,,,
David Athorn,England,1968-10-28,3411,,,
Munier Cassim,South Africa,1968-12-17,3396,,,
Craig Edwards,England,1968-12-23,3451,,,
Mark Johnston-Allen,England,1968-12-28,3269,,,
Philip Minchin,England,1969-01-03,488,philip-minchin,,
Stephen Hendry,Scotland,1969-01-13,153,stephen-hendry,,
Elliott Clark,England,1969-01-21,3418,,,
Ian Desmier,England,1969-02-02,2493,,,
Robert Chapman,England,1969-02-16,3454,robert-chapman,,
Jeff Cundy,England,1969-03-01,143,jeff-cundy,,
Tessa Davidson,England,1969-04-22,2824,tessa-davidson,,
Jason Ferguson,England,1969-05-31,3213,,,
Alex Borg,Malta,1969-06-05,515,alex-borg,,
Richard Somauroo,England,1969-06-08,136,richard-somauroo,,
Udesh Pillay,England,1969-06-12,3404,,,
Stuart Reardon,England,1969-06-20,3253,,,
William Milton,Ireland,1969-07-18,3332,,,
Jamie Moreland,England,1969-08-14,3430,,,
Mike Nixon,England,1969-08-14,3392,,,
Joe Swail,Northern Ireland,1969-08-29,35,joe-swail,,
Neil Wood,England,1969-09-10,3387,,,
Brett Patmore,England,1969-09-10,3386,,,
Gary Peters,Wales,1969-09-11,3465,,,
Ken Doherty,Ireland,1969-09-17,170,ken-doherty,,
Patrick Wallace,Northern Ireland,1969-09-20,56,patrick-wallace,,
Stephen Murphy,Ireland,1969-09-23,3278,,,
Sean Lynskey,England,1969-09-26,3505,,,
Johny Moermans,Belgium,1969-09-29,1447,johny-moermans,,
Troy Shaw,England,1969-10-06,3219,,,
Steven Breward,England,1969-10-07,2450,,,
Wayne Brown,England,1969-10-21,2004,wayne-brown,,
Carl Waters,England,1969-10-26,3476,,,
Bash Maqsood,England,1969-10-30,532,bash-maqsood,,
Karen Corr,Northern Ireland,1969-11-10,3174,,,
Au Chi Wai,Hong Kong,1969-11-19,511,au-chi-wai,,
Spencer Dunn,England,1969-11-25,3470,,,
Iwan Jones,Wales,1969-11-27,3379,,,
Peter Lines,England,1969-12-11,37,peter-lines,,
Nick Dyson,England,1969-12-19,922,nick-dyson,,
