full_name,nation,birthday,snooker_id,cuetracker_id,wikidata_id,wiki_id
Diana Stateczny,Germany,1980-01-13,2112,diana-stateczny,,
Ip Wan In Jaique,Hong Kong,1980-01-15,2115,ip-wan-in-jaique,,
Barry Lee,Scotland,1980-01-15,1181,barry-lee,,
Stephen Groves,England,1980-01-15,141,stephen-groves,,
Ip Wan In Jaique,Hong Kong,1980-01-15,2115,ip-wan-in-jaique,,
Barry Lee,Scotland,1980-01-15,1181,barry-lee,,
Stephen Groves,England,1980-01-15,141,stephen-groves,,
Martin McCrudden,Ireland,1980-02-02,427,martin-mccrudden,,
Ryan Day,Wales,1980-03-23,68,ryan-day,,
Shehzad Iqbal,Pakistan,1980-03-29,542,shehzad-iqbal,,
Lee Spick,England,1980-04-25,99,lee-spick,,
Daniel Young,England,1980-05-31,3128,daniel-young,,
Andrew Norman,England,1980-06-27,60,andrew-norman,,
Scott Mackenzie,Scotland,1980-07-21,505,scott-mackenzie,,
Mark Bell,England,1980-07-27,2785,mark-bell,,
Liu Jing,China,1980-07-30,2988,,,
Kuldesh Johal,England,1980-09-25,102,kuldesh-johal,,
Shafaqut Hussain,England,1980-10-08,2060,shafaqut-hussain,,
Andrew Tapper,England,1980-11-05,2786,andrew-tapper,,
Andy Lee,Hong Kong,1980-11-27,123,andy-lee,,
Philip Ciantar,Malta,1980-12-01,2398,,,
Gary Challis,England,1980-12-20,2051,gary-challis,,
Haider Ali,Pakistan,1981-01-01,2354,,,
Radu Vilau,Romania,1981-01-27,1135,radu-vilau,,
Maris Volajs,Latvia,1981-01-29,1555,maris-volajs,,
Stephen Maguire,Scotland,1981-03-13,2,stephen-maguire,,
Michael Wild,England,1981-03-27,124,michael-wild,,
Diana Schuler,Germany,1981-04-18,259,diana-schuler,,
Jin Long,China,1981-05-23,283,jin-long,,
David Gilbert,England,1981-06-12,118,david-gilbert,,
Marian Kraus,Germany,1981-06-23,3533,,,
Jason Turnbull,England,1981-07-03,2042,jason-turnbull,,
Keith Keldie,Scotland,1981-08-02,1494,keith-keldie,,
Marc Shaw,Wales,1981-08-15,2900,,,
Cao Xinlong,China,1981-08-16,514,cao-xinlong,,
Martin Gould,England,1981-09-14,27,martin-gould,,
Steven Bennie,Scotland,1981-09-28,3212,,,
Yang Qingtian,China,1981-10-19,940,yang-qingtian,,
Daniel Ward,England,1981-11-17,1003,daniel-ward,,
So Man Yan,Hong Kong,1981-11-24,2125,so-man-yan,,
Francisco Domingues,Portugal,1981-12-15,1004,francisco-domingues,,
Mohamed Khairy,Egypt,1981-12-26,931,mohamed-khairy,,
Carlo Giagnacovo,England,1982-01-22,3214,carlo-giagnacovo,,
Neil Robertson,Australia,1982-02-11,154,neil-robertson,,
Maria Catalano,England,1982-02-27,2119,maria-catalano,,
Lee Stephens,England,1982-03-06,557,lee-stephens,,
Muhammad Asif,Pakistan,1982-03-17,1188,mohammed-asif,,
Ian Martin,England,1982-04-14,2157,ian-martin,,
