full_name,nation,birthday,snooker_id,cuetracker_id,wikidata_id,wiki_id
Matthew Selt,England,1985-03-07,47,,,
Ian Burns,England,1985-03-11,87,ian-burns,,
Thepchaiya Un-Nooh,Thailand,1985-04-18,217,,,
David Grace,England,1985-05-05,67,,,
Matthew Day,England,1985-06-04,423,,,
Mark Owens,Scotland,1985-07-02,706,,,
Thepchaiya Un-Nooh,Thailand,1985-07-18,217,,,
Pankaj Advani,India,1985-07-24,585,,,
Itaro Santos,Brazil,1985-07-28,583,,,
Gary Wilson,England,1985-08-11,546,,,
Adam Wicheard,England,1985-08-23,86,,,
Jamie Cope,England,1985-09-12,3,,,
Lau Ka Lam,Hong Kong,1985-09-25,1148,,,
Reanne Evans,England,1985-10-25,175,,,
Aditya Mehta,India,1985-10-31,108,,,
Fraser Patrick,Scotland,1985-11-08,534,,,
Mike Finn,England,1985-12-18,233,,,
Lucky Vatnani,India,1985-12-23,201,,,
