full_name,nation,birthday,snooker_id,cuetracker_id,wikidata_id,wiki_id
David McLellan,Scotland,1970-01-10,525,david-mclellan,,
Shaun Mellish,England,1970-01-10,3389,,,
David McLellan,Scotland,1970-01-10,525,david-mclellan,,
James Wattana,Thailand,1970-01-17,193,james-wattana,,
Karl Payne,England,1970-02-08,3281,,,
Gary Lees,England,1970-02-09,1946,gary-lees,,
Jason Wright,England,1970-03-12,2901,,,
Eddie Glass,England,1970-04-12,3429,,,
Darren Clarke,England,1970-04-17,3224,,,
Simon Morris,England,1970-05-03,3304,,,
Mark Weston,England,1970-05-30,3393,,,
Jason Dunworth,England,1970-06-14,3433,,,
Jason Prince,Northern Ireland,1970-06-17,2871,,,
Paul Davies,Wales,1970-06-22,173,paul-davies,,
Peter Bullen,Belgium,1970-06-26,395,peter-bullen,,
Barry Pinches,England,1970-07-13,6,barry-pinches,,
Wayne Ellison,England,1970-07-31,3432,,,
Leonard Degriffa,England,1970-08-05,2491,,,
Darren Barton,England,1970-08-19,1726,darren-barton,,
Peter Ebdon,England,1970-08-27,42,peter-ebdon,,
Oliver King,England,1970-09-07,3279,,,
Hans Blanckaert,Belgium,1970-09-11,191,hans-blanckaert,,
Barry McNamee,Ireland,1970-09-22,3409,,,
Mark Cackett,England,1970-09-25,3412,,,
Alfonso Bellusci,England,1970-10-28,3438,,,
Paul Radin,England,1970-11-06,3390,,,
Mark Anthony Taylor,England,1970-11-11,2756,mark-taylor,,
Micky Roughan,Ireland,1970-11-17,3277,,,
Johnathan Bagley,England,1970-12-14,1655,jonathan-bagley,,
Jonathan Bagley,England,1970-12-14,3336,,,
Johnathan Bagley,England,1970-12-14,1655,jonathan-bagley,,
Karl Beare,England,1970-12-17,3375,,,
Kevin Smith,England,1970-12-21,3350,,,
Jason Pegram,England,1971-01-02,3340,,,
Jason Weston,England,1971-01-12,1505,jason-weston,,
Adrian Rosa,England,1971-01-17,1659,adrian-rosa,,
Alan McManus,Scotland,1971-01-21,44,alan-mcmanus,,
Jason Greaves,England,1971-02-23,3330,,,
Matthew McGrotty,England,1971-02-26,3329,,,
Richard Batty,England,1971-03-13,3355,,,
Stephen Delaney,England,1971-03-16,3420,,,
Pat Kenny,England,1971-03-22,3478,,,
Rory McLeod,Jamaica,1971-03-26,50,rory-mcleod,,
Gary Irvine,Northern Ireland,1971-04-06,3384,,,
