full_name,nation,birthday,snooker_id,cuetracker_id,wikidata_id,wiki_id
IIS 10.0 Detailed Error - 404.0 - Not Found,,,2063,,,
Dragos-Bogdan Dorojan,Romania,,2067,,,
Wolfgang Frey,Germany,,2068,,,
Jonas Sprengel,Germany,,2070,,,
IIS 10.0 Detailed Error - 404.0 - Not Found,,,2071,,,
Marcel Praeckert,Germany,,2072,,,
Nicolas Georgopoulos,Germany,,2073,,,
Ben Murphy,England,,2075,,,
William Frey,Germany,,2076,,,
Fabian Haken,Germany,,2077,,,
Kaavya Bharath,India,,2079,,,
Thomas Lancastle,England,,2080,,,
Reggie Edwards,England,,2082,,,
Didier Gaugler,France,,2084,,,
Andrew Ivasiv,Ukraine,,2085,,,
Gert Kempenaers,Belgium,,2087,,,
Matthew Marten,England,,2088,,,
Abdullah Atmar Ghulam Jilani,Afghanistan,,2089,,,
Andy Symons,England,,2091,,,
David Charleton,Scotland,,2092,,,
IIS 10.0 Detailed Error - 404.0 - Not Found,,,2093,,,
Sourav Kothari,India,,2095,,,
Suchakree Poomjang,Thailand,,2096,,,
Daniell Haenga,New Zealand,,2097,,,
Peter McCullagh,Australia,,2098,,,
IIS 10.0 Detailed Error - 404.0 - Not Found,,,2099,,,
